GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1969168394744417270700000000,2814010700100550192,2814010700,인천광역시 동구 송림동,1,일반,55-192,8731,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,47.21,84.5,0,0,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1968-06-18,1969-01-18,2023-09-14
1969168406484417251800000000,2814010700100550193,2814010700,인천광역시 동구 송림동,1,일반,55-193,8732,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,65.49,121.36,0,0,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1968-06-28,1969-01-18,2023-09-14
1971168405094417154800000000,2814010700100550195,2814010700,인천광역시 동구 송림동,1,일반,55-195,8733,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,47.01,94.02,0,0,21,철근콘크리트구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,0,2,0,1971-04-30,1971-08-11,2023-09-14
1983168393914417176400000000,2814010700100550197,2814010700,인천광역시 동구 송림동,1,일반,55-197,8735,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,55.49,55.485,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1983-07-25,2023-09-14
1969168386944417100000000000,2814010700100550199,2814010700,인천광역시 동구 송림동,1,일반,55-199,8736,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,63.47,159.41,0,0,21,철근콘크리트구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,3,0,1969-03-05,1969-03-08,2023-09-14
1969168377124417118100000000,2814010700100550202,2814010700,인천광역시 동구 송림동,1,일반,55-202,8737,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,52,104,0,0,11,벽돌구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,2,0,1969-07-25,1969-12-08,2023-09-14
1983168369464417142300000000,2814010700100550203,2814010700,인천광역시 동구 송림동,1,일반,55-203,8738,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,83.7,169.38,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,,1983-08-11,2023-09-14
1983168378754417216600000000,2814010700100550205,2814010700,인천광역시 동구 송림동,1,일반,55-205,8740,1,일반건축물,2,일반건축물대방,,,0,주건축물,80.85,51.31,90.61,112.07,63.46,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,7,2,0,,1983-08-28,2023-09-14
1969168400644417072200000000,2814010700100550208,2814010700,인천광역시 동구 송림동,1,일반,55-208,8741,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,44.07,86.98,0,0,21,철근콘크리트구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,2,0,19680600,1969-06-20,2023-09-14
1971168437754417622700000000,2814010700100550209,2814010700,인천광역시 동구 송림동,1,일반,55-209,8742,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,53.55,98.61,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1971-03-22,1971-10-06,2023-09-14
