GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1995171628824346689700000000,2818510300106230005,2818510300,인천광역시 연수구 연수동,1,일반,623-5,4366,1,일반건축물,2,일반건축물대방,,,0,주건축물,228.2,133.62,492.94,184.48,58.55,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,13.1,4,1,1994-10-06,1995-02-08,2023-09-14
1994171616714346790300000000,2818510300106230006,2818510300,인천광역시 연수구 연수동,1,일반,623-6,4367,1,일반건축물,2,일반건축물대방,,,0,주건축물,227.9,136.39,581.42,201.29,59.85,21,철근콘크리트구조,01000,단독주택,01000,단독주택,2,상업용,13.1,4,1,1994-05-11,1994-09-16,2023-09-14
1995171602634346907300000000,2818510300106230007,2818510300,인천광역시 연수구 연수동,1,일반,623-7,4368,1,일반건축물,2,일반건축물대방,,,0,주건축물,227.2,136.2,494.34,217.58,59.95,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,12,4,0,1994-12-31,1995-07-24,2023-09-14
1994171589944346726200000000,2818510300106240000,2818510300,인천광역시 연수구 연수동,1,일반,624,4369,1,일반건축물,2,일반건축물대방,,,0,주건축물,238.2,140.76,594.72,215.16,59.09,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,18.7,4,1,1994-12-22,1994-06-30,2023-09-14
1996171603754346610100000000,2818510300106240001,2818510300,인천광역시 연수구 연수동,1,일반,624-1,4370,1,일반건축물,2,일반건축물대방,,,0,주건축물,241,136.78,631.94,209.73,56.76,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,11,4,1,1995-08-28,1996-06-15,2023-09-14
1994171615044346507700000000,2818510300106240002,2818510300,인천광역시 연수구 연수동,1,일반,624-2,4371,1,일반건축물,2,일반건축물대방,,,0,주건축물,241,144.41,518.82,162.73,59.92,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,10.2,3,1,1993-06-18,1994-05-19,2023-09-14
1995171629634346398800000000,2818510300106240003,2818510300,인천광역시 연수구 연수동,1,일반,624-3,4372,1,일반건축물,2,일반건축물대방,,,0,주건축물,241,143.98,678.11,221.63,59.74,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,13.6,4,1,1993-08-07,1995-08-26,2023-09-14
1995171640984346285500000000,2818510300106240004,2818510300,인천광역시 연수구 연수동,1,일반,624-4,4373,1,일반건축물,2,일반건축물대방,,,0,주건축물,241,144,640.11,214,59.8,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,12.4,4,1,1994-08-24,1995-04-25,2023-09-14
1994171653784346180300000000,2818510300106240005,2818510300,인천광역시 연수구 연수동,1,일반,624-5,4374,1,일반건축물,2,일반건축물대방,,,0,주건축물,239.3,142.65,651.39,219.24,59.61,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,14.4,4,1,1993-12-22,1994-06-01,2023-09-14
1994171642754346069000000000,2818510300106240006,2818510300,인천광역시 연수구 연수동,1,일반,624-6,4375,1,일반건축물,2,일반건축물대방,,,0,주건축물,242.4,144.4,629.71,225.83,59.57,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,14.6,4,1,1994-04-19,1994-08-18,2023-09-14
